# Per-step geometry/movement diagnostic. If dx/drot stay zero, the motion solver is not moving that part.
step	patch	coeff_source	load_source	force_N	moment_Nm	moved_m	rotated_rad	cofr_x	cofr_y	cofr_z	bbox_xmin	bbox_xmax	bbox_ymin	bbox_ymax	bbox_zmin	bbox_zmax
0	Part_1_5	Part_1_5	OpenFOAM-forces	12.990401	0.016580493	0.02	0.17453293	-0.039477039	0.046013125	-0.0094005281	-0.072356363	-0.0063891743	0.023656029	0.071312643	-0.027082415	0.01274799
0	Part_1_4	Part_1_4	OpenFOAM-forces	13.007433	0.016900029	0.02	0.17453293	-0.039510505	0.043726405	0.056222587	-0.072322267	-0.0064186141	0.021555911	0.061396598	0.033930646	0.081508115
0	Part_1_1	Part_1_1	OpenFOAM-forces	3.9956122	0.074979194	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
0	Part_1_2	Part_1_2	OpenFOAM-forces	6.861512	0.0034074224	0.02	0.14505208	-0.086604004	0.011977459	0.02222963	-0.088289675	-0.084918687	-0.025986725	0.049983517	-0.015668753	0.060311424
0	Part_1_3	Part_1_3	OpenFOAM-forces	13.035052	0.016846963	0.02	0.17453293	-0.039479504	-0.021897556	0.054058324	-0.072306702	-0.0064110295	-0.04720518	0.0004088583	0.031906917	0.071689404
0	Part_1_6	Part_1_6	OpenFOAM-forces	13.009567	0.016529609	0.02	0.17453293	-0.039499433	-0.019675969	-0.011635704	-0.072345447	-0.0064001035	-0.037368521	0.0024883835	-0.036922197	0.010689281
1	Part_1_5	Part_1_5	OpenFOAM-forces	5.8240152	0.14784472	0.02	0.17453293	-0.047562021	0.062371369	-0.027482507	-0.080751927	-0.013831043	0.039310743	0.093427313	-0.041109745	-0.0047532103
1	Part_1_4	Part_1_4	OpenFOAM-forces	5.9753079	0.14730983	0.02	0.17453293	-0.047592151	0.06180383	0.072577826	-0.080717802	-0.013838732	0.039046372	0.075464862	0.049580128	0.1036293
1	Part_1_1	Part_1_1	OpenFOAM-forces	1.308449	0.22871234	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
1	Part_1_2	Part_1_2	OpenFOAM-forces	25.817253	0.024489807	0.02	0.17453293	-0.10659492	0.011440781	0.021658781	-0.10896429	-0.10423679	-0.026278804	0.049719967	-0.015992012	0.060014528
1	Part_1_3	Part_1_3	OpenFOAM-forces	6.0661579	0.14758043	0.02	0.17453293	-0.047517471	-0.038249346	0.072152032	-0.080651414	-0.013781989	-0.069320067	-0.015255765	0.049408704	0.085779443
1	Part_1_6	Part_1_6	OpenFOAM-forces	5.8943699	0.14765982	0.02	0.17453293	-0.047558382	-0.037741731	-0.028034805	-0.080714868	-0.013811447	-0.051389478	-0.014986317	-0.059078854	-0.0050024811
2	Part_1_5	Part_1_5	OpenFOAM-forces	4.8527362	0.15078355	0.02	0.17453293	-0.058400389	0.066199404	-0.046109115	-0.091680698	-0.02425235	0.04346673	0.10230023	-0.056759872	-0.024292759
2	Part_1_4	Part_1_4	OpenFOAM-forces	4.8207592	0.14940634	0.02	0.17453293	-0.058370593	0.080486749	0.07636614	-0.091584339	-0.024194679	0.058646239	0.091201739	0.053704186	0.11247981
2	Part_1_1	Part_1_1	OpenFOAM-forces	0.8450104	0.2404923	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
2	Part_1_2	Part_1_2	OpenFOAM-forces	24.775565	0.025781682	0.02	0.17453293	-0.12657187	0.0118985	0.020348436	-0.12945093	-0.12372338	-0.025947418	0.050029355	-0.016979454	0.059041053
