# Quasi-dynamic assembly motion log
# dt=0.02 s, default_mass=0.05 kg, default_inertia=0.0001 kg m^2
# This is a rigid-body approximation driven by OpenFOAM forces.dat/log loads, with panel fallback only if OpenFOAM loads are unavailable.
step	patch	material	material_source	mass_kg	density_kg_m3	mate_type	freedom_source	Cd	Cs	Cl	CmRoll	CmPitch	CmYaw	Fx_N	Fy_N	Fz_N	Mx_Nm	My_Nm	Mz_Nm	dx_m	dy_m	dz_m	droll_rad	dpitch_rad	dyaw_rad	total_x_m	total_y_m	total_z_m
0	Part_1_5	unknown	bom	0.046483876	1000	FREE	unmated	-0.209012	0	-0.6403783	0	0	0	-2.9121699	8.9522542	-8.951364	-0.012085162	0.0079822926	-0.0080712212	-0.0044835722	0.013782876	-0.013781506	-0.12721327	0.084024816	-0.084960915	-0.0044835722	0.013782876	-0.013781506
0	Part_1_4	unknown	bom	0.046483876	1000	FREE	unmated	-0.2089967	0	0.64163482	0	0	0	-2.9116126	8.9596781	8.9688345	-0.012428434	0.0080140972	0.0081804189	-0.0044768442	0.013776243	0.013790322	-0.12835309	0.082764583	0.084482249	-0.0044768442	0.013776243	0.013790322
0	Part_1_1	unknown	bom	0.091184936	1000	ANCHOR	assembly-root-anchor	-0.16469068	0	0.000114075	0	0	0	-3.9956111	0.00073026511	0.0027942558	-0.07497919	-5.4529951e-06	2.528809e-05	0	0	0	0	0	0	0	0	0
0	Part_1_2	unknown	bom	0.013592119	1000	FREE	unmated	-0.19404464	0	0.00014451559	0	0	0	-6.8615057	-0.0077576605	0.0050934039	-0.0034054885	-0.00011315719	1.9268697e-05	-0.019999982	-2.2612102e-05	1.4846302e-05	-0.14496975	-0.0048170386	0.00082025773	-0.019999982	-2.2612102e-05	1.4846302e-05
0	Part_1_3	unknown	bom	0.046483876	1000	FREE	unmated	-0.20885666	0	0.64251264	0	0	0	-2.9096696	-8.9879635	8.9812542	-0.012412097	-0.0080674711	0.008042135	-0.0044643773	-0.013790452	0.013780158	-0.12858813	-0.083578228	0.083315749	-0.0044643773	-0.013790452	0.013780158
0	Part_1_6	unknown	bom	0.046483876	1000	FREE	unmated	-0.20925389	0	-0.64134437	0	0	0	-2.9155568	-8.9653866	-8.9649431	-0.012082477	-0.0079443028	-0.0080081058	-0.0044821735	-0.013782759	-0.013782078	-0.12757653	-0.08388235	-0.084556033	-0.0044821735	-0.013782759	-0.013782078
1	Part_1_5	unknown	bom	0.046483876	1000	FREE	unmated	-0.3066686	0	-0.2138346	0	0	0	-4.1430975	2.7974737	-2.9879821	-0.14745614	0.010036059	-0.0037450964	-0.0079605973	0.012862346	-0.01308392	-0.17299147	0.019384434	-0.012646621	-0.012444169	0.03451195	-0.026865425
1	Part_1_4	unknown	bom	0.046483876	1000	FREE	unmated	-0.31096496	0	0.20591006	0	0	0	-4.2037704	3.1293264	2.8705289	-0.14689295	0.0039990211	0.010327361	-0.0079481386	0.013121351	0.012831883	-0.17291259	0.012874179	0.019930754	-0.012424983	0.026897595	0.034505183
1	Part_1_1	unknown	bom	0.091184936	1000	ANCHOR	assembly-root-anchor	0.041706388	0	-0.012106206	0	0	0	1.2595504	0.1908349	-0.29858614	-0.22871107	0.00041592632	-0.00063787335	0	0	0	0	0	0	0	0	0
1	Part_1_2	unknown	bom	0.013592119	1000	FREE	unmated	-0.73044089	0	-0.0011076899	0	0	0	-25.817205	-0.02825815	-0.040876841	-0.024332944	-0.0021922199	0.0016889866	-0.019999974	-2.2010117e-05	-2.397837e-05	-0.1735951	-0.014503786	0.010776041	-0.039999955	-4.4622219e-05	-9.1320686e-06
1	Part_1_3	unknown	bom	0.046483876	1000	FREE	unmated	-0.31136971	0	0.2303472	0	0	0	-4.2091821	-2.9528606	3.218955	-0.147144	-0.010686694	0.0037975866	-0.0078896711	-0.01284533	0.013143462	-0.17290027	-0.020169967	0.012665407	-0.012354048	-0.034521884	0.02692362
1	Part_1_6	unknown	bom	0.046483876	1000	FREE	unmated	-0.30749346	0	-0.20619092	0	0	0	-4.1548347	-3.0360255	-2.8746294	-0.14725941	-0.0038651733	-0.010156323	-0.0079302787	-0.013076481	-0.012888612	-0.17297047	-0.012656431	-0.0195646	-0.012412452	-0.02685924	-0.034546347
2	Part_1_5	unknown	bom	0.046483876	1000	FREE	unmated	-0.30822638	0	-0.15161938	0	0	0	-4.1616746	1.3172895	-2.1199673	-0.15067377	0.005600144	-0.0013163466	-0.010512456	0.011527924	-0.012513802	-0.17389227	0.013085115	-0.0072111339	-0.022956625	0.046039874	-0.039379227
2	Part_1_4	unknown	bom	0.046483876	1000	FREE	unmated	-0.3047236	0	0.092313754	0	0	0	-4.1140332	2.1587059	1.28625	-0.14930813	0.0011277709	0.0052976584	-0.010444783	0.012600032	0.011495465	-0.17387809	0.0072510706	0.013250467	-0.022869766	0.039497627	0.046000648
2	Part_1_1	unknown	bom	0.091184936	1000	ANCHOR	assembly-root-anchor	0.024437983	0	0.0010590936	0	0	0	0.84451566	0.012379405	0.026127409	-0.24049229	2.8388254e-05	4.9763698e-05	0	0	0	0	0	0	0	0	0
2	Part_1_2	unknown	bom	0.013592119	1000	FREE	unmated	-0.70087423	0	-0.012797186	0	0	0	-24.770557	-0.21904943	-0.44734188	-0.024971205	-0.0034650834	-0.0053969623	-0.019998752	-0.0001022253	-0.00019865795	-0.17298494	-0.019173988	-0.013050288	-0.059998707	-0.00014684752	-0.00020779002
2	Part_1_3	unknown	bom	0.046483876	1000	FREE	unmated	-0.30928393	0	0.15398499	0	0	0	-4.1774505	-1.4002057	2.1531593	-0.14969387	-0.005049543	0.0012212529	-0.010400642	-0.011577909	0.012560998	-0.17388271	-0.013221488	0.0071929479	-0.02275469	-0.046099793	0.039484618
2	Part_1_6	unknown	bom	0.046483876	1000	FREE	unmated	-0.31193777	0	-0.097857911	0	0	0	-4.2136467	-2.1087033	-1.3639333	-0.1506271	-0.0014872433	-0.0051818481	-0.010506365	-0.012473013	-0.011577575	-0.17389897	-0.0073118202	-0.012939342	-0.022918817	-0.039332253	-0.046123922
3	Part_1_5	unknown	bom	0.046483876	1000	FREE	unmated	-0.30885376	0	-0.13502436	0	0	0	-4.1735482	0.51852351	-1.8893827	-0.14757774	0.0037915259	0.00027753913	-0.01246339	0.0099834297	-0.012041389	-0.17416678	0.010260144	-0.0047333106	-0.035420015	0.056023304	-0.051420616
3	Part_1_4	unknown	bom	0.046483876	1000	FREE	unmated	-0.30658538	0	0.030323362	0	0	0	-4.1421932	1.7860583	0.42007175	-0.1471961	-0.00039864178	0.0041777817	-0.012444968	0.012097352	0.009938654	-0.17415192	0.0047081422	0.010520692	-0.035314734	0.051594979	0.055939302
3	Part_1_1	unknown	bom	0.091184936	1000	ANCHOR	assembly-root-anchor	-0.026476355	0	-0.00028280965	0	0	0	-0.40785672	-0.0035567813	-0.0070283439	-0.24654822	-2.5129025e-05	3.825658e-05	0	0	0	0	0	0	0	0	0
3	Part_1_2	unknown	bom	0.013592119	1000	FREE	unmated	-0.7160305	0	-0.012326626	0	0	0	-25.305752	0.10474594	-0.43463422	-0.025975252	-0.0010741513	-0.0014571605	-0.019998309	-2.5388797e-05	-0.00025880165	-0.17348565	-0.014934572	-0.011892483	-0.079997017	-0.00017223631	-0.00046659167
3	Part_1_3	unknown	bom	0.046483876	1000	FREE	unmated	-0.30446091	0	0.12506817	0	0	0	-4.1101225	-0.47538198	1.7500517	-0.14954355	-0.004158606	-0.00024196371	-0.01237537	-0.0100819	0.012050125	-0.1741566	-0.010442591	0.0047089473	-0.03513006	-0.056181693	0.051534743
3	Part_1_6	unknown	bom	0.046483876	1000	FREE	unmated	-0.30836102	0	-0.035846917	0	0	0	-4.1662691	-1.9335872	-0.49718324	-0.14796291	0.00055185934	-0.0043455115	-0.012436732	-0.012046345	-0.010010657	-0.17416167	-0.0046884174	-0.010366899	-0.03535555	-0.051378598	-0.056134579
4	Part_1_5	unknown	bom	0.046483876	1000	FREE	unmated	-0.28576042	0	-0.13824109	0	0	0	-3.8394798	0.5283658	-1.934908	-0.15855066	0.0024834209	0.00079804384	-0.013627648	0.0088042525	-0.011694971	-0.1743069	0.0082652234	-0.0032451457	-0.049047663	0.064827556	-0.063115587
4	Part_1_4	unknown	bom	0.046483876	1000	FREE	unmated	-0.28373273	0	0.030852266	0	0	0	-3.8113854	2.1353688	0.42887371	-0.15827593	-0.0012675667	0.0027756396	-0.013557417	0.011880162	0.0086636128	-0.17429656	0.0030858505	0.0085398253	-0.048872151	0.063475141	0.064602914
4	Part_1_1	unknown	bom	0.091184936	1000	ANCHOR	assembly-root-anchor	-0.051991201	0	-0.00074997614	0	0	0	-1.0425778	-0.016579607	-0.018666596	-0.24246691	0.00043962908	0.00012975018	0	0	0	0	0	0	0	0	0
4	Part_1_2	unknown	bom	0.013592119	1000	FREE	unmated	-0.71256852	0	-0.028808278	0	0	0	-25.183092	-0.14601484	-1.0167421	-0.026156967	-0.0050101771	-0.0024371511	-0.019994753	-5.7691819e-05	-0.00045446516	-0.17289656	-0.019963206	-0.013038106	-0.099991769	-0.00022992813	-0.00092105683
4	Part_1_3	unknown	bom	0.046483876	1000	FREE	unmated	-0.28707569	0	0.15527327	0	0	0	-3.8585921	-0.37491209	2.1745654	-0.15784006	-0.0030133292	-0.0021607485	-0.013520706	-0.0087408665	0.011865402	-0.17429945	-0.0085675259	0.0028357164	-0.048650766	-0.06492256	0.063400145
4	Part_1_6	unknown	bom	0.046483876	1000	FREE	unmated	-0.29126449	0	-0.0359401	0	0	0	-3.9172698	-2.0537355	-0.50040404	-0.15776723	0.0012546227	-0.0024284184	-0.013603846	-0.011747263	-0.0087713833	-0.17430632	-0.0030832997	-0.0083392457	-0.048959396	-0.063125862	-0.064905963
5	Part_1_5	unknown	bom	0.046483876	1000	FREE	unmated	-0.30454243	0	-0.16032536	0	0	0	-4.1095835	-0.3511408	-2.2445449	-0.15122328	0.0044163514	0.0014572616	-0.014641933	0.0071660077	-0.011587154	-0.17435246	0.007614175	-0.0022326944	-0.063689595	0.071993564	-0.074702741
5	Part_1_4	unknown	bom	0.046483876	1000	FREE	unmated	-0.30822405	0	-0.026620184	0	0	0	-4.1626423	1.9097399	-0.37691403	-0.14967337	-0.0016400401	0.0044750984	-0.014709758	0.011558333	0.0070730447	-0.17434359	0.0020642247	0.0078608897	-0.063581909	0.075033474	0.071675959
