# Persistent collision damage evolution log
step	patch	site	failure_mode	elapsed_s	response_time_s	current_depth_m	permanent_depth_m	current_hole_radius_m	target_hole_radius_m	contact_radius_m	accumulated_energy_J	ongoing_contact_energy_J	geometry_change_m	displaced_fragments	active	structural_solver	shell_stable_dt_s	shell_mass_scale	shell_displacement_limit_m	shell_failed_edges	shell_plug_faces
1	Part_1_5	0	elastic_contact	0	0.0032	3.9030811e-05	0	0	0	0.002	0	0	0	0	1	surface_contact	0	1	0	0	0
1	Part_1_4	0	elastic_contact	0	0.0032	3.9030811e-05	0	0	0	0.002	0	0	0	0	1	surface_contact	0	1	0	0	0
1	Part_1_4	1	elastic_contact	0	0.0032	3.901651e-05	0	0	0	0.002	0	0	0	0	1	surface_contact	0	1	0	0	0
1	Part_1_3	0	elastic_contact	0	0.0032	3.8973486e-05	0	0	0	0.002	0	0	0	0	1	surface_contact	0	1	0	0	0
1	Part_1_3	1	elastic_contact	0	0.0032	3.4533476e-05	0	0	0	0.002	0	0	0	0	1	surface_contact	0	1	0	0	0
1	Part_1_6	0	elastic_contact	0	0.0032	3.4495395e-05	0	0	0	0.002	0	0	0	0	1	surface_contact	0	1	0	0	0
2	Part_1_5	0	elastic_contact	0.0008	0.0032	3.0397226e-05	0	0	0	0.002	0	0	8.6335847e-06	0	1	surface_contact	0	1	0	0	0
2	Part_1_4	0	elastic_contact	0.0008	0.0032	3.0397226e-05	0	0	0	0.002	0	0	8.6335847e-06	0	1	surface_contact	0	1	0	0	0
2	Part_1_4	1	elastic_contact	0.0008	0.0032	3.0386089e-05	0	0	0	0.002	0	0	8.6304215e-06	0	1	surface_contact	0	1	0	0	0
2	Part_1_3	0	elastic_contact	0.0008	0.0032	3.0352581e-05	0	0	0	0.002	0	0	8.6209046e-06	0	1	surface_contact	0	1	0	0	0
2	Part_1_3	1	elastic_contact	0.0008	0.0032	2.6894698e-05	0	0	0	0.002	0	0	7.6387778e-06	0	1	surface_contact	0	1	0	0	0
2	Part_1_6	0	elastic_contact	0.0008	0.0032	2.6865041e-05	0	0	0	0.002	0	0	7.6303544e-06	0	1	surface_contact	0	1	0	0	0
