# Part collision log. Every independent body pair uses continuous swept mesh-surface contact; current overlap is a fallback.
# Only members of the same explicit mate-created rigid body are excluded from self-collision.
# Swept prescribed impacts preserve launch speed until real triangle surfaces meet.
# Curved contact uses Hertz elasticity; flat contact uses the classical elastic flat-punch relation. Thin targets use membrane energy, yielding, and perforation with residual impactor velocity.
step	pass	patch_a	patch_b	depth_m	nx	ny	nz	cx	cy	cz	impulse_Ns	move_a_m	move_b_m	deform_a_m	deform_b_m	contact_radius_m	indent_a_m	indent_b_m	failure_mode	perforated	absorbed_energy_J	residual_speed_mps	displaced_fragments	manifold_points	friction_coefficient
1	0	Part_1_5	Part_1_4	4.885006e-05	0.046045246	-0.70583426	0.70687893	-0.1904992	0.0093286632	-0.007479373	0.00027048713	0	0	2.442503e-05	2.442503e-05	0.002	2.442503e-05	2.442503e-05	elastic_contact	0	0	0	0	1	0.25
1	0	Part_1_4	Part_1_3	3.3954337e-05	-0.0460122	0.70584158	-0.70687378	-0.19049887	0.030311478	0.013453651	0.0001715082	0	0	1.6984365e-05	1.6969973e-05	0.002	1.6984365e-05	1.6969973e-05	elastic_contact	0	0	0	0	1	0.25
1	0	Part_1_3	Part_1_6	4.4038082e-05	-0.04602706	0.70682354	0.70589092	-0.19049913	0.0093784428	0.034436478	0.00023740149	0	0	2.2028374e-05	2.2009708e-05	0.002	2.2028374e-05	2.2009708e-05	elastic_contact	0	0	0	0	1	0.25
2	0	Part_1_4	Part_1_3	4.8726164e-05	0.048706557	-0.7070229	-0.70551137	-0.12204408	0.030307196	0.013366272	0.00028917543	0	0	2.4363082e-05	2.4363082e-05	0.002	2.4363082e-05	2.4363082e-05	elastic_contact	0	0	0	0	1	0.25
3	0	Part_1_5	Part_1_4	1.2703679e-05	-0.053073535	-0.70641708	-0.70580317	-0.019024677	0.0093307704	-0.013452246	9.2560802e-05	0	0	6.3527628e-06	6.3509166e-06	0.002	6.3527628e-06	6.3509166e-06	elastic_contact	0	0	0	0	1	0.25
3	0	Part_1_4	Part_1_3	4.4981753e-05	-0.051795375	0.70588729	-0.70642789	-0.038449038	0.030238458	0.013494214	0.00024126153	0	0	2.2500579e-05	2.2481174e-05	0.002	2.2500579e-05	2.2481174e-05	elastic_contact	0	0	0	0	1	0.25
3	0	Part_1_1	Part_1_1_2	0.022627417	-0.70710678	-1.5045084e-15	0.70710678	0.05879404	0.0093535776	0.009422262	136.05406	0.012489442	0	0.00013797539	0.01	0.045254834	0.00013797539	0.022489442	plastic_membrane_dent	0	4479.2247	0	0	1	0.34641016
3	1	Part_1_5	Part_1_1	0.0057607297	0.11092877	0.71117185	0.69421136	0.035547904	0.0051368468	0.039297571	0.59303946	0.062398986	0.0010742104	0.0057603154	4.143213e-07	0.017608828	0.0057603154	4.143213e-07	continuous_internal_contact	0	0	0	0	1	0.31622777
3	1	Part_1_5	Part_1_3	0.0057607297	-0.12088872	0.69309929	0.71063302	0.016125931	0.012684132	0.043227033	0.33148292	0.011649904	0.011649904	0.0028781964	0.0028825333	0.011521459	0.0028781964	0.0028825333	continuous_internal_contact	0	0	0	0	1	0.25
3	1	Part_1_5	Part_1_6	0.0057607297	-0.12204885	-0.69150851	0.71198318	-0.019226422	0.0081690772	0.043814536	0.41909263	0	0	0.0028794697	0.0028812601	0.016433985	0.0028794697	0.0028812601	elastic_contact	0	0	0	0	1	0.25
3	1	Part_1_4	Part_1_1	0.0057578343	0.10957002	-0.71060007	0.69501219	0.03560207	0.0086879006	0.038758507	0.52160075	0.062291255	0.0010723558	0.00575742	4.1432128e-07	0.019120495	0.00575742	4.1432128e-07	continuous_internal_contact	0	0	0	0	1	0.31622777
3	1	Part_1_4	Part_1_6	0.0057578343	-0.14214176	-0.66083716	0.73694638	0.016026525	0.0084216488	0.043597374	0.27135	0.011261879	0.011261879	0.0028774708	0.0028803636	0.011562746	0.0028774708	0.0028803636	continuous_internal_contact	0	0	0	0	1	0.25
3	1	Part_1_1	Part_1_3	0.0057873521	-0.1082942	0.68157428	0.72369114	0.0264045	-0.005678886	0.029835778	0.1216827	0.00074215335	0.043110378	4.1432143e-07	0.0057869378	0.011574704	4.1432143e-07	0.0057869378	continuous_internal_contact	0	0	0	0	1	0.31622777
3	1	Part_1_1	Part_1_6	0.0057974847	0.12922727	0.64199547	-0.75573946	0.030654219	0.012555585	0.037641411	0.046472388	0.00069672235	0.040471372	4.1432149e-07	0.0057970704	0.012996735	4.1432149e-07	0.0057970704	continuous_internal_contact	0	0	0	0	2	0.31622777
3	1	Part_1_3	Part_1_6	0.0057873521	-0.12922727	-0.64199547	0.75573946	-0.022197242	0.0044126375	0.041110748	0.22138764	0	0	0.0028911451	0.002896207	0.015211727	0.0028911451	0.002896207	elastic_contact	0	0	0	0	1	0.25
3	6	Part_1_5	Part_1_4	0.025765918	0	-1	0	0.036113562	0.022889749	0.05052134	0.097668929	0.012882959	0.012882959	0	0	0	0	0	nonpenetration_constraint	0	0	0	0	1	0
3	6	Part_1_5	Part_1_3	0.017321977	0.015878979	0.25509679	0.96678513	0.033856186	-0.014747426	0.063073729	0.1775561	0.0086609887	0.0086609887	0	0	0	0	0	nonpenetration_constraint	0	0	0	0	1	0
3	6	Part_1_5	Part_1_6	0.012318626	0	-1	0	0.032189497	0.012397384	0.061389127	0.20771107	0.0061593129	0.0061593129	0	0	0	0	0	nonpenetration_constraint	0	0	0	0	1	0
3	6	Part_1_4	Part_1_6	0.023944722	-0.053787242	-0.69393353	0.71802729	0.032499537	0.016415958	0.059343447	0.13581802	0.011972361	0.011972361	0	0	0	0	0	nonpenetration_constraint	0	0	0	0	1	0
3	6	Part_1_1	Part_1_3	0.018018493	0	1	0	-0.022666269	0.0016097358	0.033045501	0.31310883	0.00030494214	0.01771355	0	0	0	0	0	nonpenetration_constraint	0	0	0	0	1	0
3	6	Part_1_1	Part_1_6	0.015135969	0	-1	0	-0.017886897	0.027785379	0.023611931	0.17144898	0.00025615876	0.014879811	0	0	0	0	0	nonpenetration_constraint	0	0	0	0	1	0
3	7	Part_1_5	Part_1_4	0.0043581001	0	-1	0	0.026009723	0.002402191	0.069307737	0.094250637	0.00217905	0.00217905	0	0	0	0	0	nonpenetration_constraint	0	0	0	0	1	0
