# Quasi-static non-rigid surface deformation log
# Deformation is a bounded panel-pressure plate/cantilever approximation, not a structural finite-element solve.
step	patch	material	structural_source	enabled	young_modulus_pa	poisson_ratio	thickness_m	node_count	max_deformation_m	mean_deformation_m
0	object_1	Tungsten	combined-source/bom	0	4e+11	0.28	0.0048825506	0	0	0
0	object_2	ABS	combined-source/bom	1	2.31e+09	0.364	0.003	1538	3.8271004e-17	1.1700609e-17
1	object_1	Tungsten	combined-source/bom	0	4e+11	0.28	0.0048825506	0	0	0
1	object_2	ABS	combined-source/bom	1	2.31e+09	0.364	0.003	1538	5.1819184e-17	1.397355e-17
2	object_1	Tungsten	combined-source/bom	0	4e+11	0.28	0.0048816922	0	2.2268595e-05	0
2	object_2	ABS	combined-source/bom	1	2.31e+09	0.364	0.016	12288	0.05985	0.021559078
3	object_1	Tungsten	combined-source/bom	0	4e+11	0.28	0.0048445802	0	0.00015894961	0
3	object_2	ABS	combined-source/bom	1	2.31e+09	0.364	0.016249431	12288	0.05985	0.025394539
4	object_1	Tungsten	combined-source/bom	0	4e+11	0.28	0.004845487	0	0.00015894961	0
4	object_2	ABS	combined-source/bom	1	2.31e+09	0.364	0.016237501	12288	0.05985	0.026234201
