# Quasi-dynamic assembly motion log
# dt=0.0007 s, default_mass=0.05 kg, default_inertia=0.0001 kg m^2
# Rigid-body motion is driven by OpenFOAM forces.dat/log loads, with panel fallback only if OpenFOAM loads are unavailable.
# Optional non-rigid deformation is logged separately in assembly_deformation_log.txt.
step	patch	material	material_source	mass_kg	density_kg_m3	mate_type	freedom_source	Cd	Cs	Cl	CmRoll	CmPitch	CmYaw	Fx_N	Fy_N	Fz_N	Mx_Nm	My_Nm	Mz_Nm	dx_m	dy_m	dz_m	droll_rad	dpitch_rad	dyaw_rad	total_x_m	total_y_m	total_z_m
0	Part_1_5	Foamcore	bom	0.030844281	663	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-8.9916105	-0.51389118	-0.51283282	5.332434e-06	0.020093054	-0.020080772	-0.0013997055	-8.0169222e-06	-8.0004112e-06	3.4967067e-07	0.00075516555	-0.00075540705	-0.28687995	0.0092907459	0.0019082993
0	Part_1_4	Foamcore	bom	0.030844281	663	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-8.9916105	0.51283282	-0.51389118	5.332434e-06	0.020080772	0.020093054	-0.0013997055	8.0004112e-06	-8.0169222e-06	3.4967067e-07	0.00075540705	0.00075516555	-0.28687995	0.0093067633	0.0019082828
0	Part_1_1	Tungsten	bom	1.7916899	19600	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-5.4784408	1.4792636e-06	9.6910191e-11	2.7125843e-12	-6.6938528e-12	-2.1970976e-07	-3.4125971e-06	4.045451e-13	2.6502742e-17	3.251332e-15	-1.6562124e-15	-5.4361223e-11	-0.28548366	0.0092987629	0.0019162997
0	Part_1_2	Foamcore	bom	0.0090718474	663	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-55.524615	7.0789446e-14	9.9298184e-15	4.0937945e-22	5.6378513e-18	-1.0928758e-16	-0.0070099272	3.5946789e-18	5.042349e-19	2.2617691e-23	6.2199896e-19	-1.2057211e-17	-0.29249017	0.0092987629	0.0019162997
0	Part_1_3	Foamcore	bom	0.030844281	663	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-8.9916105	0.51389118	0.51283282	5.332434e-06	-0.020093054	0.020080772	-0.0013997055	8.0169222e-06	8.0004112e-06	3.4967067e-07	-0.00075516555	0.00075540705	-0.28687995	0.0093067798	0.0019243001
0	Part_1_6	Foamcore	bom	0.030844281	663	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-8.9916105	-0.51283282	0.51389118	5.332434e-06	-0.020080772	-0.020093054	-0.0013997055	-8.0004112e-06	8.0169222e-06	3.4967067e-07	-0.00075540705	-0.00075516555	-0.28687995	0.0092907624	0.0019243166
0	Part_1_1_2	ABS	bom	20.198468	1052	COLLISION_TARGET	collision-convergence-stationary	nan	0	nan	0	0	0	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0
1	Part_1_5	Foamcore	bom	0.030844281	663	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-8.8677139	-0.50468013	-0.5036369	5.2617023e-06	0.01981702	-0.019804887	-0.0027722949	-1.5745908e-05	-1.571342e-05	6.922991e-07	0.0014957253	-0.0014962027	-0.21965225	0.009275	0.0018925859
1	Part_1_4	Foamcore	bom	0.030844281	663	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-8.8677139	0.5036369	-0.50468013	5.2617023e-06	0.019804887	0.01981702	-0.0027722949	1.571342e-05	-1.5745908e-05	6.922991e-07	0.0014962027	0.0014957253	-0.21965225	0.0093224767	0.0018925369
1	Part_1_1	Tungsten	bom	1.7916899	19600	COLLISION_IMPACTOR	collision-convergence-moving	nan	0	nan	0	0	0	-5.4782548	1.479159e-06	9.6906738e-11	2.7124903e-12	-6.6935875e-12	-2.1970095e-07	-6.8250501e-06	8.0905051e-13	5.3003816e-17	6.5025291e-15	-3.3123478e-15	-1.0871989e-10	-0.21549048	0.0092987629	0.0019162997
